,Jurisdiction,State of emergency declared,Stay at home ordered,Masks required in public,Gatherings banned,Out-of-state travel restrictions,Schools,Daycares,Restaurants,Non-essential retail,Date enacted,Lockdown lifted date,Lockdown Severity
0,Alabama,2020-03-13,True,True,10,None,True,True,True,True,2020-04-04,2020-04-30,3
1,Alaska,2020-03-11,True,False,10,Full,True,True,True,True,2020-03-28,,2
2,American Samoa,2020-01-29,False,False,10,Full,True,True,False,False,,,1
3,Arizona,2020-03-11,True,False,50,Some,True,True,True,True,2020-03-31,,1
4,Arkansas,2020-03-11,False,True,10,None,True,True,True,False,,,2
5,California,2020-03-04,True,True,0,None,True,True,True,True,2020-03-19,,3
6,Colorado,2020-03-10,True,True,10,None,True,False,True,True,2020-03-26,2020-04-26,3
7,Connecticut,2020-03-10,True,True,0,Some,True,True,True,True,2020-03-23,,3
8,Delaware,2020-03-12,True,True,0,Full,True,True,True,True,2020-03-24,,3
9,District of Columbia,2020-03-11,True,True,10,None,True,True,True,True,2020-03-30,,3
10,Florida,2020-03-01,True,False,10,Some,True,True,True,True,2020-04-03,2020-05-04,2
11,Georgia,2020-03-14,True,False,10,None,True,False,True,True,2020-04-03,2020-04-30,2
12,Guam,2020-03-14,False,False,0,None,True,True,True,True,,,1
13,Hawaii,2020-03-04,True,True,11,Full,True,True,True,True,2020-03-25,,3
14,Idaho,2020-03-13,True,False,0,Full,True,True,True,False,2020-03-25,2020-04-30,2
15,Illinois,2020-03-09,True,True,0,None,True,True,True,True,2020-03-21,2020-05-30,3
16,Indiana,2020-03-06,True,True,11,None,True,True,True,True,2020-03-25,2020-05-01,2
17,Iowa,2020-03-09,False,False,10,None,True,True,True,True,,,1
18,Kansas,2020-03-09,True,True,10,Some,True,False,True,True,2020-03-30,2020-05-04,3
19,Kentucky,2020-03-06,False,True,10,Full,True,True,True,True,2020-03-26,,2
20,Louisiana,2020-03-11,True,True,11,None,True,True,True,True,2020-03-23,2020-05-15,2
21,Maine,2020-03-15,True,True,10,Full,True,True,True,False,2020-04-02,2020-04-30,3
22,Maryland,2020-03-05,True,True,10,Full,True,True,True,True,2020-03-30,2020-05-15,3
23,Massachusetts,2020-03-10,False,True,11,Full,True,True,True,True,2020-03-24,2020-05-18,2
24,Michigan,2020-03-11,True,True,0,None,True,True,True,True,2020-03-24,2020-06-02,3
25,Minnesota,2020-03-13,True,True,0,None,True,True,True,True,2020-03-27,,3
26,Mississippi,2020-03-04,True,False,0,None,True,False,True,True,2020-04-03,2020-04-27,2
27,Missouri,2020-03-13,True,False,10,Some,True,False,True,True,2020-04-06,2020-05-03,2
28,Montana,2020-03-12,True,False,10,Full,False,True,True,True,2020-03-28,2020-04-26,2
29,Nebraska,2020-03-13,False,False,10,Some,True,False,False,False,,,1
30,Nevada,2020-03-12,True,True,10,Full,True,True,True,True,2020-04-01,,3
31,New Hampshire,2020-03-13,True,False,50,Full,True,True,True,True,2020-03-27,2020-06-11,2
32,New Jersey,2020-03-09,True,True,0,None,True,True,True,True,2020-03-21,2020-06-09,3
33,New Mexico,2020-03-11,True,True,6,Full,True,True,True,True,2020-03-24,,3
34,New York,2020-03-07,True,True,0,None,True,True,True,True,2020-03-22,,3
35,North Carolina,2020-03-10,True,True,10,None,True,True,True,True,2020-03-30,,3
36,North Dakota,2020-03-13,False,False,50,Full,True,True,True,True,,,1
37,N. Mariana Islands,2020-01-29,False,False,10,None,True,True,False,False,,,1
38,Ohio,2020-03-09,True,True,11,Full,True,False,True,True,2020-03-23,,3
39,Oklahoma,2020-03-15,False,False,11,Some,True,True,True,True,2020-04-02,,0
40,Oregon,2020-03-08,True,True,0,None,True,True,True,False,2020-03-23,,3
41,Pennsylvania,2020-03-06,True,False,10,Some,True,True,True,True,2020-04-01,,2
42,Puerto Rico,2020-03-12,True,False,0,Some,True,True,True,True,2020-03-15,,2
43,Rhode Island,2020-03-09,True,True,25,Full,True,True,True,True,2020-03-28,,3
44,South Carolina,2020-03-13,True,False,50,Some,True,True,True,True,2020-04-07,2020-05-04,1
45,South Dakota,2020-03-13,False,False,50,None,True,True,False,False,,,0
46,Tennessee,2020-03-12,True,False,10,None,True,True,True,True,2020-04-02,2020-04-30,2
47,Texas,2020-03-13,True,True,10,Some,True,True,True,True,2020-04-02,2020-04-30,3
48,Utah,2020-03-06,False,True,10,None,True,True,True,False,,,2
49,U.S. Virgin Islands,2020-03-13,True,False,0,None,True,True,True,True,2020-03-25,,2
50,Vermont,2020-03-16,True,False,10,Full,True,True,True,True,2020-03-25,,2
51,Virginia,2020-03-12,True,True,10,None,True,True,True,False,2020-03-30,,3
52,Washington,2020-02-29,True,True,0,None,True,True,True,True,2020-03-23,,3
53,West Virginia,2020-03-04,True,True,0,None,True,True,True,True,2020-03-23,2020-05-04,3
54,Wisconsin,2020-03-12,True,True,0,Full,True,False,True,True,2020-03-25,2020-05-13,3
55,Wyoming,2020-03-12,False,False,10,Full,True,True,True,False,,,1
